Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Variant Image,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Brand Name (product.metafields.custom.brand_name),Card Offer (product.metafields.custom.card_offer),Coming Soon (product.metafields.custom.coming_soon),featured_collection (product.metafields.custom.featured_collection),free-products (product.metafields.custom.free_products),free-products-offers (product.metafields.custom.free_products_offers),Offer Timer Enable (product.metafields.custom.offer_timer_enable),pdp_faq_ans (product.metafields.custom.pdp_faq_ans),pdp_faq_ques (product.metafields.custom.pdp_faq_ques),Pre Order Text (product.metafields.custom.pre_order_text),Product Faq (product.metafields.custom.product_faq),Strength-Nicotine (product.metafields.custom.strength_nicotine),upsell-products (product.metafields.custom.upsell_products),Video Content (product.metafields.custom.video_content),weight (product.metafields.custom.weight),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Coil connection (product.metafields.shopify.coil-connection),Color (product.metafields.shopify.color-pattern),Detailed ingredients (product.metafields.shopify.detailed-ingredients),Dietary preferences (product.metafields.shopify.dietary-preferences),Dietary supplements (product.metafields.shopify.dietary-supplements),E-cigarette/Vaporizer style (product.metafields.shopify.e-cigarette-vaporizer-style),E-liquid flavor (product.metafields.shopify.e-liquid-flavor),E-liquid variety (product.metafields.shopify.e-liquid-variety),Package type (product.metafields.shopify.package-type),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Vaping style (product.metafields.shopify.vaping-style),VG/PG ratio (product.metafields.shopify.vg-pg-ratio),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Weight Unit,Variant Tax Code,Cost per item,Status
banana-ice-nic-salt-by-vortex-bar-series,Banana ice Nic Salt by Vortex Bar Series,"<div class=""OutlineElement Ltr SCXW187893741 BCX0"">
<div class=""OutlineElement Ltr SCXW104363419 BCX0"">
<div class=""OutlineElement Ltr SCXW89775629 BCX0"">
<div class=""OutlineElement Ltr SCXW187238239 BCX0"">
<div class=""OutlineElement Ltr SCXW113062331 BCX0"">
<div class=""OutlineElement Ltr SCXW194077949 BCX0"">
<div class=""OutlineElement Ltr SCXW139423208 BCX0"">
<div class=""OutlineElement Ltr SCXW162923952 BCX0"">
<div class=""OutlineElement Ltr SCXW204448631 BCX0"">
<div class=""OutlineElement Ltr SCXW252087348 BCX0"">
<p data-start=""147"" data-end=""401"">Banana ice Nic Salt by Vortex Bar Series delivers a smooth, ripe banana flavour layered with a crisp icy finish for a refreshing all-day vape. The natural sweetness of banana is perfectly balanced by a cool exhale, creating a flavour that is both creamy and revitalising.</p>
<p data-start=""403"" data-end=""645"">Vortex Bar Series Nic Salt e-liquids are formulated to provide a lighter throat hit, even at higher nicotine strengths. Available in <strong data-start=""536"" data-end=""544"">10mg</strong> and <strong data-start=""549"" data-end=""557"">20mg</strong>, Banana Ice is ideal for users seeking fast nicotine satisfaction with a smooth inhale.</p>
<p data-start=""647"" data-end=""877"">Blended at a <strong data-start=""660"" data-end=""681"">50/50 VG/PG ratio</strong>, Vortex Bar Series e-liquids are designed for <strong data-start=""728"" data-end=""751"">MTL (Mouth To Lung)</strong> vape kits and pods. This blend produces discreet vapour levels while closely replicating the feel of a traditional cigarette.</p>
<p data-start=""879"" data-end=""1062"">Inspired by flavours found in popular prefilled pod kits, Vortex Bar Series offers premium taste in convenient <strong data-start=""990"" data-end=""1006"">10ml bottles</strong>, giving you more value without compromising on quality.</p>
<h2 data-start=""1064"" data-end=""1108""><strong data-start=""1064"" data-end=""1108"">Banana Ice Nic Salt by Vortex Bar Series</strong></h2>
<ul>
<li data-start=""1112"" data-end=""1136"">10ml Nic Salt E-Liquid</li>
<li data-start=""1139"" data-end=""1171"">10mg or 20mg Nicotine Strength</li>
<li data-start=""1174"" data-end=""1191"">50% VG / 50% PG</li>
<li data-start=""1194"" data-end=""1222"">Designed for MTL Vape Kits</li>
<li data-start=""1225"" data-end=""1241"">Made in the UK</li>
<li data-start=""1244"" data-end=""1263"">Recyclable Bottle</li>
<li data-start=""1266"" data-end=""1282"">Childproof Cap</li>
<li data-start=""1285"" data-end=""1306"">Tamper Evident Seal</li>
</ul>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>",vortex,"Food, Beverages & Tobacco > Tobacco Products > Vaporizers & Electronic Cigarettes > E-Liquid",E-Liquids,"BFCM_2025, Bitterne Park Vape Shop, ml_10 ml, NICSALT, Non-Flash-sale, Non_VV1.95, Portswood Vape Shop, Shirley Vape Shop, Tidal Vape Hemel, vortex, Vortex Bar Series",TRUE,Nicotine Strength,5mg,,,,,,,,'5061105602686,0,shopify,deny,manual,3.99,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0010/5902/9110/files/Banana-ice-Nic-Salt-by-Vortex-Bar-Series-vortex-175746426.jpg?v=1770191637,1,Banana ice Nic Salt by Vortex Bar Series,FALSE,,"Banana Ice Nic Salt by Vortex Bar Series blends ripe banana with an icy finish for a smooth throat hit. Available in 10mg or 20mg, 50/50 VG/PG MTL blend. Buy now.",,,,,,,,,,,,,,,,,3 E-Liquid FOR Â£10|5 E-Liquid FOR Â£15|10 E-Liquid FOR Â£22,,,,,,,,,,,,,,,,,,,raspberry; other,nicotine-salt,,,,50-50,,,,"Vortex
vor
vo
vortax",kg,,,active
banana-ice-nic-salt-by-vortex-bar-series,,,,,,,,,10mg,,,,,,,,'5061105602679,0,shopify,deny,manual,3.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
banana-ice-nic-salt-by-vortex-bar-series,,,,,,,,,20mg,,,,,,,,'5061105602716,0,shopify,deny,manual,3.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
gummy-bear-nic-salt-by-vortex-bar-series,Gummy Bear Nic Salt by Vortex Bar Series,"<div class=""OutlineElement Ltr SCXW187893741 BCX0"">
<div class=""OutlineElement Ltr SCXW104363419 BCX0"">
<div class=""OutlineElement Ltr SCXW89775629 BCX0"">
<div class=""OutlineElement Ltr SCXW187238239 BCX0"">
<div class=""OutlineElement Ltr SCXW113062331 BCX0"">
<div class=""OutlineElement Ltr SCXW194077949 BCX0"">
<div class=""OutlineElement Ltr SCXW139423208 BCX0"">
<div class=""OutlineElement Ltr SCXW162923952 BCX0"">
<div class=""OutlineElement Ltr SCXW204448631 BCX0"">
<div class=""OutlineElement Ltr SCXW252087348 BCX0"">
<p class=""Paragraph SCXW252087348 BCX0"" lang=""EN-US""><span class=""TextRun SCXW252087348 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW252087348 BCX0"">Gummy Bear Nic Salt captures the classic chewy sweet taste with a mix of fruity notes. </span></span><span class=""EOP SCXW252087348 BCX0"" data-ccp-props=""{}"">Â </span></p>
</div>
<div class=""OutlineElement Ltr SCXW252087348 BCX0"">
<p class=""Paragraph SCXW252087348 BCX0"" lang=""EN-US""><span class=""TextRun SCXW252087348 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW252087348 BCX0"">Vortex Bar Series Nic salt e-liquids also deliver a lighter throat hit even </span><span class=""NormalTextRun ContextualSpellingAndGrammarErrorV2Themed SCXW252087348 BCX0"">in</span><span class=""NormalTextRun SCXW252087348 BCX0""> higher strengths and you can take your pick from aÂ </span><span class=""NormalTextRun SCXW252087348 BCX0"">10mg</span><span class=""NormalTextRun SCXW252087348 BCX0"">Â orÂ </span><span class=""NormalTextRun SCXW252087348 BCX0"">20mg</span><span class=""NormalTextRun SCXW252087348 BCX0"">Â e-liquid.</span></span><span class=""EOP SCXW252087348 BCX0"" data-ccp-props=""{}"">Â </span></p>
</div>
<div class=""OutlineElement Ltr SCXW252087348 BCX0"">
<p class=""Paragraph SCXW252087348 BCX0"" lang=""EN-US""><span class=""TextRun SCXW252087348 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW252087348 BCX0"">Vortex Bar SeriesÂ e-liquids are 50/50 VG/PG blends, which are best paired withÂ </span></span><a class=""Hyperlink SCXW252087348 BCX0"" href=""https://tidalvape.co.uk/collections/mouth-to-lung-tanks"" rel=""noreferrer noopener"" target=""_blank""><span class=""TextRun Underlined SCXW252087348 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW252087348 BCX0"" data-ccp-charstyle=""Hyperlink"">MTL (MouthÂ ToÂ Lung) tanks</span></span></a><span class=""TextRun SCXW252087348 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW252087348 BCX0"">Â andÂ </span></span><a class=""Hyperlink SCXW252087348 BCX0"" href=""https://tidalvape.co.uk/collections/mtl-vape-kits"" rel=""noreferrer noopener"" target=""_blank""><span class=""TextRun Underlined SCXW252087348 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW252087348 BCX0"" data-ccp-charstyle=""Hyperlink"">kits</span></span></a><span class=""TextRun SCXW252087348 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW252087348 BCX0"">, andÂ will createÂ </span><span class=""NormalTextRun SCXW252087348 BCX0"">small amounts</span><span class=""NormalTextRun SCXW252087348 BCX0"">Â ofÂ </span><span class=""NormalTextRun SpellingErrorV2Themed SCXW252087348 BCX0"">vapour</span><span class=""NormalTextRun SCXW252087348 BCX0"">Â that feels closer to a cigarette.</span></span><span class=""EOP SCXW252087348 BCX0"" data-ccp-props='{""134233117"":false,""134233118"":false,""335551550"":0,""335551620"":0,""335557856"":16777215,""335559738"":210,""335559739"":210}'>Â </span></p>
</div>
<div class=""OutlineElement Ltr SCXW252087348 BCX0"">
<p class=""Paragraph SCXW252087348 BCX0"" lang=""EN-US""><a class=""Hyperlink SCXW252087348 BCX0"" href=""https://tidalvape.co.uk/collections/vortex-bar-series"" rel=""noreferrer noopener"" target=""_blank""><span class=""TextRun Underlined SCXW252087348 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW252087348 BCX0"" data-ccp-charstyle=""Hyperlink"">VortexÂ Bar Series</span></span></a><span class=""TextRun SCXW252087348 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW252087348 BCX0"">Â has created a range ofÂ </span><span class=""NormalTextRun SpellingErrorV2Themed SCXW252087348 BCX0"">flavours</span><span class=""NormalTextRun SCXW252087348 BCX0"">Â inspired by blends found in popularÂ </span></span><a class=""Hyperlink SCXW252087348 BCX0"" href=""https://tidalvape.co.uk/collections/prefilled-pod-kits"" rel=""noreferrer noopener"" target=""_blank""><span class=""TextRun SCXW252087348 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW252087348 BCX0"" data-ccp-charstyle=""Hyperlink"">prefilled pod kits</span></span></a><span class=""TextRun SCXW252087348 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW252087348 BCX0"">. Available inÂ </span><span class=""NormalTextRun SCXW252087348 BCX0"">10ml</span><span class=""NormalTextRun SCXW252087348 BCX0"">Â bottles, you can get more of yourÂ </span><span class=""NormalTextRun SpellingErrorV2Themed SCXW252087348 BCX0"">favourite</span><span class=""NormalTextRun SCXW252087348 BCX0"">Â e-liquids for less.</span></span><span class=""EOP SCXW252087348 BCX0"" data-ccp-props='{""134233117"":false,""134233118"":false,""335551550"":0,""335551620"":0,""335557856"":16777215,""335559738"":210,""335559739"":210}'>Â </span></p>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
<h2 id=""tinymce_scroll_sign"">
<span class=""TextRun SCXW234152214 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW234152214 BCX0"">Gummy Bear Nic Salt by Vortex Bar Series </span></span><span class=""LineBreakBlob BlobObject DragDrop SCXW234152214 BCX0""><span class=""SCXW234152214 BCX0"">Â </span><br class=""SCXW234152214 BCX0""></span>
</h2>
<ul>
<li data-leveltext=""ï‚·"" data-font=""Symbol"" data-listid=""1"" data-list-defn-props='{""335552541"":1,""335559685"":720,""335559991"":360,""469769226"":""Symbol"",""469769242"":[8226],""469777803"":""left"",""469777804"":""ï‚·"",""469777815"":""hybridMultilevel""}' aria-setsize=""-1"" data-aria-posinset=""1"" data-aria-level=""1""><span data-contrast=""auto""><span class=""NormalTextRun AdvancedProofingIssueV2Themed SCXW38198363 BCX0"">10ml</span><span class=""NormalTextRun SCXW38198363 BCX0""> Nic Salt E-Liquid</span></span></li>
<li data-leveltext=""ï‚·"" data-font=""Symbol"" data-listid=""1"" data-list-defn-props='{""335552541"":1,""335559685"":720,""335559991"":360,""469769226"":""Symbol"",""469769242"":[8226],""469777803"":""left"",""469777804"":""ï‚·"",""469777815"":""hybridMultilevel""}' aria-setsize=""-1"" data-aria-posinset=""1"" data-aria-level=""1""><span data-contrast=""auto""><span class=""NormalTextRun AdvancedProofingIssueV2Themed SCXW185094272 BCX0"">10mg</span> <span class=""NormalTextRun ContextualSpellingAndGrammarErrorV2Themed SCXW185094272 BCX0"">Or</span> <span class=""NormalTextRun AdvancedProofingIssueV2Themed SCXW185094272 BCX0"">20mg</span><span class=""NormalTextRun SCXW185094272 BCX0""> Strength</span></span></li>
<li data-leveltext=""ï‚·"" data-font=""Symbol"" data-listid=""1"" data-list-defn-props='{""335552541"":1,""335559685"":720,""335559991"":360,""469769226"":""Symbol"",""469769242"":[8226],""469777803"":""left"",""469777804"":""ï‚·"",""469777815"":""hybridMultilevel""}' aria-setsize=""-1"" data-aria-posinset=""1"" data-aria-level=""1""><span data-contrast=""auto""><span class=""NormalTextRun SCXW185094272 BCX0""><a rel=""noreferrer noopener"" href=""https://tidalvape.co.uk/collections/vape-50-50-e-liquids"" class=""Hyperlink HyperlinkGateOff SCXW252137001 BCX0"" target=""_blank""><span class=""TextRun Underlined UnderlinedGateOff SCXW252137001 BCX0"" lang=""EN-US"" data-contrast=""none""><span class=""NormalTextRun SCXW252137001 BCX0"" data-ccp-charstyle=""Hyperlink"">50% VG / 50% PG</span></span></a></span></span></li>
<li data-leveltext=""ï‚·"" data-font=""Symbol"" data-listid=""1"" data-list-defn-props='{""335552541"":1,""335559685"":720,""335559991"":360,""469769226"":""Symbol"",""469769242"":[8226],""469777803"":""left"",""469777804"":""ï‚·"",""469777815"":""hybridMultilevel""}' aria-setsize=""-1"" data-aria-posinset=""1"" data-aria-level=""1""><span data-contrast=""auto""><span class=""NormalTextRun SCXW185094272 BCX0""><span class=""TextRun Underlined UnderlinedGateOff SCXW252137001 BCX0"" lang=""EN-US"" data-contrast=""none""><span class=""NormalTextRun SCXW252137001 BCX0"" data-ccp-charstyle=""Hyperlink""><span class=""TextRun SCXW213178216 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW213178216 BCX0"">Blended For MTL Vape Kits</span></span></span></span></span></span></li>
<li data-leveltext=""ï‚·"" data-font=""Symbol"" data-listid=""1"" data-list-defn-props='{""335552541"":1,""335559685"":720,""335559991"":360,""469769226"":""Symbol"",""469769242"":[8226],""469777803"":""left"",""469777804"":""ï‚·"",""469777815"":""hybridMultilevel""}' aria-setsize=""-1"" data-aria-posinset=""1"" data-aria-level=""1""><span data-contrast=""auto""><span class=""NormalTextRun SCXW185094272 BCX0""><span class=""TextRun Underlined UnderlinedGateOff SCXW252137001 BCX0"" lang=""EN-US"" data-contrast=""none""><span class=""NormalTextRun SCXW252137001 BCX0"" data-ccp-charstyle=""Hyperlink""><span class=""TextRun SCXW213178216 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW213178216 BCX0""><span class=""TextRun SCXW66519278 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW66519278 BCX0"">Made In The UK</span></span></span></span></span></span></span></span></li>
<li data-leveltext=""ï‚·"" data-font=""Symbol"" data-listid=""1"" data-list-defn-props='{""335552541"":1,""335559685"":720,""335559991"":360,""469769226"":""Symbol"",""469769242"":[8226],""469777803"":""left"",""469777804"":""ï‚·"",""469777815"":""hybridMultilevel""}' aria-setsize=""-1"" data-aria-posinset=""1"" data-aria-level=""1""><span data-contrast=""auto""><span class=""NormalTextRun SCXW185094272 BCX0""><span class=""TextRun Underlined UnderlinedGateOff SCXW252137001 BCX0"" lang=""EN-US"" data-contrast=""none""><span class=""NormalTextRun SCXW252137001 BCX0"" data-ccp-charstyle=""Hyperlink""><span class=""TextRun SCXW213178216 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW213178216 BCX0""><span class=""TextRun SCXW66519278 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW66519278 BCX0""><span class=""TextRun SCXW100756422 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW100756422 BCX0"">Recyclable Bottle</span></span></span></span></span></span></span></span></span></span></li>
<li data-leveltext=""ï‚·"" data-font=""Symbol"" data-listid=""1"" data-list-defn-props='{""335552541"":1,""335559685"":720,""335559991"":360,""469769226"":""Symbol"",""469769242"":[8226],""469777803"":""left"",""469777804"":""ï‚·"",""469777815"":""hybridMultilevel""}' aria-setsize=""-1"" data-aria-posinset=""1"" data-aria-level=""1""><span data-contrast=""auto""><span class=""NormalTextRun SCXW185094272 BCX0""><span class=""TextRun Underlined UnderlinedGateOff SCXW252137001 BCX0"" lang=""EN-US"" data-contrast=""none""><span class=""NormalTextRun SCXW252137001 BCX0"" data-ccp-charstyle=""Hyperlink""><span class=""TextRun SCXW213178216 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW213178216 BCX0""><span class=""TextRun SCXW66519278 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW66519278 BCX0""><span class=""TextRun SCXW100756422 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW100756422 BCX0""><span class=""TextRun SCXW259674647 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW259674647 BCX0"">Childproof Cap</span></span></span></span></span></span></span></span></span></span></span></span></li>
<li data-leveltext=""ï‚·"" data-font=""Symbol"" data-listid=""1"" data-list-defn-props='{""335552541"":1,""335559685"":720,""335559991"":360,""469769226"":""Symbol"",""469769242"":[8226],""469777803"":""left"",""469777804"":""ï‚·"",""469777815"":""hybridMultilevel""}' aria-setsize=""-1"" data-aria-posinset=""1"" data-aria-level=""1""><span data-contrast=""auto""><span class=""NormalTextRun SCXW185094272 BCX0""><span class=""TextRun Underlined UnderlinedGateOff SCXW252137001 BCX0"" lang=""EN-US"" data-contrast=""none""><span class=""NormalTextRun SCXW252137001 BCX0"" data-ccp-charstyle=""Hyperlink""><span class=""TextRun SCXW213178216 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW213178216 BCX0""><span class=""TextRun SCXW66519278 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW66519278 BCX0""><span class=""TextRun SCXW100756422 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW100756422 BCX0""><span class=""TextRun SCXW259674647 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW259674647 BCX0""><span class=""TextRun SCXW238582676 BCX0"" lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW238582676 BCX0"">Tamper Evident Seal</span></span></span></span></span></span></span></span></span></span></span></span></span></span></li>
</ul>",vortex,"Food, Beverages & Tobacco > Tobacco Products > Vaporizers & Electronic Cigarettes > E-Liquid",E-Liquids,"BFCM_2025, Bitterne Park Vape Shop, ml_10 ml, NICSALT, Non-Flash-sale, Non_VV1.95, Portswood Vape Shop, Shirley Vape Shop, Tidal Vape Hemel, vortex, Vortex Bar Series",TRUE,Nicotine Strength,10mg,,,,,,,,'5061028377609,0,shopify,deny,manual,3.99,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0010/5902/9110/files/Gummy-Bear-Nic-Salt-by-Vortex-Bar-Series-vortex-172826418.jpg?v=1758276865,1,Gummy Bear Nic Salt by Vortex Bar Series vortex,FALSE,,"Gummy Bear Nic Salt by Vortex Bar Series with fruity notes. Smooth throat hit in 10mg or 20mg options, crafted in a 50/50 MTL blend. Buy now!",,,,,,,,,,,,,,,,,3 E-Liquid FOR Â£10|5 E-Liquid FOR Â£15|10 E-Liquid FOR Â£22,,,,,,,,,,,,,,,,,,,raspberry; other,nicotine-salt,,,,50-50,,,,"Vortex
vor
vo
vortax",kg,,,active
gummy-bear-nic-salt-by-vortex-bar-series,,,,,,,,,20mg,,,,,,,,'5061028377630,0,shopify,deny,manual,3.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
